County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American_indian,Native Hawaiian,Other,Hispanic,Male,Female,Total
ORANGE,52559,15041,63,31,670,43536,76254,11810,257,2,23577,3782,45613,53934,111900
PAMLICO,3216,3699,0,6,46,2807,7392,1540,27,0,815,82,4319,4894,9774
PASQUOTANK,11681,6964,23,19,181,9855,15958,9862,43,1,2859,306,12234,14643,28723
PENDER,11889,17791,15,39,357,14867,33206,6105,105,3,5539,926,19497,21790,44958
PERQUIMANS,3265,3137,4,11,42,3301,7023,2037,20,2,678,40,4323,4930,9760
PERSON,11205,7704,12,8,117,8738,17645,7086,125,2,2926,377,11833,13918,27784
PITT,53030,31597,72,88,795,37971,65796,41526,245,2,15984,2764,50327,62777,123553
POLK,4047,6081,10,14,92,6244,14512,664,10,1,1301,218,7367,8545,16488
RANDOLPH,17192,49442,36,74,583,27592,77626,5830,306,5,11152,3073,41916,46610,94919
RICHMOND,13935,6908,9,27,104,8409,17140,9457,419,0,2376,423,12864,15265,29392
ROBESON,42688,11987,18,71,223,21804,21515,20578,26792,10,7896,1766,33247,41088,76791
ROCKINGHAM,20223,23254,19,49,312,17767,43566,11441,111,0,6506,952,27920,32820,61624
ROWAN,25438,41365,49,72,514,30006,69457,15807,195,2,11983,2194,41849,47513,97444
RUTHERFORD,12176,19054,18,29,233,14439,37120,4225,66,0,4538,658,19868,22842,45949
SAMPSON,14580,14887,9,26,160,8434,21998,10677,549,1,4871,2110,16368,19694,38096
SCOTLAND,11214,4232,8,20,70,6497,9854,8466,1679,4,2038,187,9061,11613,22041
STANLY,9629,20135,16,42,180,12961,33366,4363,83,1,5150,471,18497,20700,42963
STOKES,6317,16480,6,29,166,8798,27623,1214,57,0,2902,319,15023,16580,31796
SURRY,11422,21410,19,24,173,14146,40079,1772,53,1,5289,1534,20468,23503,47194
SWAIN,3398,2939,7,3,53,3690,7659,125,1586,1,719,72,4559,5123,10090
TRANSYLVANIA,6345,8687,11,8,146,11316,23290,833,49,0,2341,211,11620,13289,26513
TYRRELL,1177,424,0,2,11,757,1438,692,7,0,234,37,1038,1171,2371
UNION,40412,69029,72,93,982,57645,120049,19255,424,6,28499,6926,72614,80645,168233
VANCE,18346,4883,7,17,86,6363,11682,15024,58,1,2937,585,12312,15528,29702
WAKE,291512,188855,422,455,6204,307047,481051,144456,1892,27,167069,28973,329976,377813,794495
WARREN,8641,2158,0,3,44,2685,5258,6692,548,1,1032,81,5859,6947,13531
WASHINGTON,5202,1293,0,0,20,1801,3692,4050,11,0,563,55,3545,4416,8316
WATAUGA,12022,13289,44,22,459,19330,38358,908,71,3,5826,1111,19389,22054,45166
WAYNE,30058,25426,33,55,405,20215,41667,24538,139,0,9848,2450,31946,38391,76192
WILKES,8229,23617,11,22,180,11875,38306,1619,48,0,3961,748,19339,21442,43934
WILSON,27794,14066,15,35,219,14889,27397,23100,106,0,6415,1435,23888,29789,57018
YADKIN,3532,14061,11,17,123,6981,21405,742,29,0,2549,764,11031,12030,24725
YANCEY,4435,5283,5,7,61,4379,12879,79,21,0,1191,91,6407,6927,14170
