County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American indan,Native Hawaiian,Other,Hispanic,Male,Female,Total
PAMLICO,4039,3081,0,0,32,2618,7611,1800,30,0,329,60,4523,5105,9770
PASQUOTANK,13595,5994,0,0,146,8918,16242,10852,56,0,1503,229,12742,15237,28653
PENDER,13103,14899,0,0,223,11925,31734,6555,92,0,1769,628,18714,20879,40150
PERQUIMANS,4291,2677,0,0,34,3185,7541,2406,18,0,222,43,4747,5409,10187
PERSON,12473,6665,0,0,99,7708,18495,7371,118,0,961,268,12211,14421,26945
PITT,57286,31711,0,0,659,33047,71990,42591,256,0,7866,2228,52666,65894,122703
POLK,4631,5597,0,0,73,5776,14815,753,15,0,494,184,7344,8607,16077
RANDOLPH,20199,46383,0,0,400,26228,82756,5933,289,0,4232,2351,43433,48930,93210
RICHMOND,17407,5759,0,0,70,7434,18868,10196,421,0,1185,342,13851,16494,30670
ROBESON,50796,9593,0,0,177,15455,23462,21812,26814,0,3933,1110,33109,42455,76021
ROCKINGHAM,23961,20697,0,0,199,15859,46111,12141,122,0,2342,721,27871,32831,60716
ROWAN,29173,38490,0,0,335,27199,74002,16899,184,0,4112,1541,43921,50252,95197
RUTHERFORD,15872,16411,0,0,189,12596,38493,4607,69,0,1899,501,20440,23696,45068
SAMPSON,16753,13741,0,0,98,7242,23133,11629,561,0,2511,1455,16870,20553,37834
SCOTLAND,13344,3726,0,0,46,5855,11114,9267,1583,0,1007,177,9781,12819,22971
STANLY,11604,17871,0,0,114,11303,34700,4398,78,0,1716,263,18853,21342,40892
STOKES,8173,15059,0,0,153,7903,29017,1350,63,0,858,273,14752,16497,31288
SURRY,14673,19094,0,0,125,11975,41915,1817,69,0,2066,931,20731,24448,45867
SWAIN,4177,2677,0,0,33,3688,8333,123,1870,0,249,53,5000,5551,10575
TRANSYLVANIA,7056,8278,0,0,116,10090,23641,955,54,0,890,172,11728,13377,25540
TYRRELL,1469,348,0,0,7,657,1580,799,8,0,94,29,1139,1320,2481
UNION,39875,63444,0,0,619,47017,121015,18576,391,0,10973,4982,70666,78415,150955
VANCE,20209,4425,0,0,61,5562,13060,15892,51,0,1254,377,13261,16483,30257
WAKE,266039,188949,0,0,4215,245890,466519,141111,1779,0,95684,21519,314830,360488,705093
WARREN,9582,1768,0,0,31,2347,5426,7247,595,0,460,52,6208,7348,13728
WASHINGTON,5965,1118,0,0,24,1654,4022,4406,10,0,323,44,3880,4792,8761
WATAUGA,12640,14308,0,0,483,18894,42831,992,71,0,2431,943,21677,24083,46325
WAYNE,33523,24327,0,0,274,18084,44583,25755,154,0,5716,1954,33544,40571,76208
WILKES,10353,22089,0,0,119,10451,40146,1740,36,0,1090,591,20025,22438,43012
WILSON,30222,13932,0,0,135,12289,29565,23620,97,0,3296,989,24849,30693,56578
YADKIN,4303,13409,0,0,70,6360,22523,760,34,0,825,526,11286,12516,24142
YANCEY,5293,4918,0,0,42,3709,13580,87,22,0,273,67,6586,7207,13962
